Date,AFE.JO,ARL.JO,VKE.JO,TSG.JO,TCP.JO,SPG.JO,TON.JO,FFB.JO,RLO.JO,RBP.JO,SUI.JO,CML.JO,JSE.JO,FFA.JO,LBH.JO,NPK.JO,PSG.JO,MUR.JO,AIP.JO,AEG.JO,BAT.JO,HYP.JO,RES.JO,AVI.JO,INL.JO,ARI.JO,PIK.JO,PPC.JO,ACL.JO,MSM.JO,LHC.JO,SPP.JO,CCO.JO,NTC.JO,BAW.JO,EXX.JO,RDF.JO,NRP.JO,TKG.JO,CLS.JO,TRU.JO,SAP.JO,DSY.JO,CPI.JO,TFG.JO,KIO.JO,HAR.JO,GRT.JO,TBS.JO,MRP.JO,NED.JO,WHL.JO,REM.JO,BVT.JO,MNP.JO,SLM.JO,SHP.JO,VOD.JO,APN.JO,AMS.JO,SNH.JO,ABG.JO,GFI.JO,IMP.JO,BTI.JO,ANG.JO,FSR.JO,CFR.JO,SBK.JO,BHP.JO,MTN.JO,SOL.JO,AGL.JO,NPN.JO
2000-02-01,126405.0,,,27725.0,,32801.0,80784.0,,888765.0,,,106101.0,,,46584.0,0.0,2635526.0,249329.0,,3133189.0,105476.0,,,351235.0,717498.0,125836.0,220556.0,4513857.0,795181.0,116257.0,0.0,,,5756421.0,508975.0,,,,,1243736.0,116257.0,1219157.0,54600.0,170466.0,224191.0,,283797.0,,279230.0,1257.0,213781.0,893216.0,3858.0,,,6854005.0,295400.0,,114600.0,215335.0,613957.0,1631669.0,310776.0,613400.0,900.0,136899.0,9713291.0,0.0,2916886.0,1594949.0,2616718.0,754047.0,183092.0,176328.0
2000-02-02,130502.0,,,36018.0,,43738.0,47316.0,,310439.0,,,40094.0,,,32700.0,0.0,3173217.0,234354.0,,2898295.0,179844.0,,,282202.0,644520.0,105457.0,106051.0,2171245.0,749980.0,748246.0,0.0,,,192040.0,580851.0,,,,,59540.0,748246.0,703555.0,17018.0,4650416.0,243587.0,,86807.0,,290229.0,34209.0,314716.0,870181.0,48878.0,,,7237213.0,194256.0,,12370.0,156519.0,114127.0,2725250.0,1445764.0,496592.0,11400.0,142851.0,5068475.0,0.0,2723975.0,1326676.0,2075181.0,565027.0,363272.0,130846.0
2000-02-03,113841.0,,,2273.0,,31495.0,87229.0,,344340.0,,,42707.0,,,20193.0,0.0,241247.0,292893.0,,285632.0,12888.0,,,214948.0,327867.0,89329.0,155407.0,145511.0,140861.0,158552.0,49100.0,,,109700.0,803902.0,,,,,144507.0,158552.0,1643350.0,52117.0,20216.0,68020.0,,366893.0,,378642.0,5108.0,140765.0,989134.0,8575.0,,,3602368.0,83013.0,,21305.0,126854.0,180207.0,576001.0,817494.0,1909464.0,2000.0,186719.0,4529535.0,0.0,2398838.0,3102833.0,1603930.0,555681.0,382200.0,258981.0
2000-02-04,119342.0,,,56489.0,,74015.0,82560.0,,178616.0,,,69594.0,,,12900.0,0.0,1132274.0,502401.0,,322146.0,14221.0,,,1491960.0,181172.0,71181.0,215528.0,30109115.0,1260666.0,165726.0,1000.0,,,842786.0,557634.0,,,,,212863.0,165726.0,895044.0,261818.0,85453.0,523406.0,,675361.0,,232178.0,8255.0,144083.0,990225.0,39304.0,,,2506659.0,192689.0,,54298.0,724607.0,266460.0,1055044.0,843366.0,221288.0,9100.0,230350.0,3158187.0,0.0,1331075.0,1177206.0,1713942.0,329493.0,328328.0,750876.0
2000-02-07,263216.0,,,11365.0,,27057.0,118050.0,,229700.0,,,42782.0,,,18861.0,0.0,527527.0,149943.0,,356135.0,27998.0,,,806774.0,213220.0,246882.0,930232.0,102218.0,232513.0,140964.0,0.0,,,44924.0,693936.0,,,,,615893.0,140964.0,1089257.0,103506.0,314855.0,332860.0,,1588421.0,,210231.0,26139.0,161751.0,747240.0,0.0,,,3849045.0,124290.0,,35578.0,207688.0,30952.0,866826.0,4720609.0,779112.0,0.0,382213.0,5138003.0,0.0,606825.0,2086462.0,722393.0,339096.0,534716.0,205049.0
2000-02-08,159949.0,,,7496.0,,30931.0,92980.0,,66477.0,,,30916.0,,,16170.0,0.0,338516.0,441857.0,,120788.0,45183.0,,,177140.0,138105.0,135917.0,155541.0,165353.0,917152.0,331238.0,12000.0,,,309416.0,454690.0,,,,,413758.0,331238.0,883303.0,43982.0,67592.0,36191.0,,532700.0,,164408.0,19139.0,149870.0,4039330.0,6495.0,,,6280270.0,77400.0,,24449.0,134478.0,247324.0,748256.0,1431575.0,766232.0,1500.0,308881.0,7864082.0,0.0,870781.0,2399125.0,704952.0,306102.0,463372.0,249688.0
2000-02-09,482140.0,,,22374.0,,20171.0,155474.0,,102518.0,,,23387.0,,,59535.0,0.0,373298.0,253686.0,,3212255.0,49479.0,,,564458.0,379335.0,83145.0,565794.0,30064.0,892341.0,162863.0,577400.0,,,3407279.0,589017.0,,,,,180316.0,162863.0,2029534.0,43509.0,185350.0,453105.0,,555826.0,,385096.0,48031.0,49222.0,652297.0,2143.0,,,4195835.0,245000.0,,420266.0,230186.0,6926.0,742439.0,2639520.0,1442840.0,500.0,186944.0,3353032.0,0.0,2091614.0,2672224.0,1252769.0,211221.0,148876.0,457860.0
2000-02-10,98626.0,,,21105.0,,38548.0,69777.0,,96372.0,,,76856.0,,,11682.0,0.0,1552177.0,153158.0,,508504.0,18073.0,,,266547.0,1275227.0,63984.0,567866.0,184745.0,146594.0,240041.0,0.0,,,1576380.0,913344.0,,,,,507976.0,240041.0,2818411.0,90799.0,1564598.0,151742.0,,471819.0,,578088.0,25430.0,193156.0,1352780.0,0.0,,,3616460.0,30971.0,,172960.0,144913.0,1329388.0,690883.0,4310116.0,688912.0,0.0,474181.0,3907150.0,0.0,1299527.0,3697280.0,1122201.0,921249.0,203476.0,560029.0
2000-02-11,578529.0,,,16146.0,,151735.0,306948.0,,472331.0,,,80146.0,,,4560.0,0.0,3206550.0,188213.0,,28849762.0,35554.0,,,478150.0,604574.0,45422.0,1123073.0,1393481.0,216322.0,444715.0,24900.0,,,2202028.0,753525.0,,,,,129702.0,444715.0,1443025.0,45247.0,1972852.0,631152.0,,1266941.0,,653956.0,64728.0,164774.0,1482260.0,6602.0,,,2461907.0,19840.0,,34665.0,52943.0,136519.0,420698.0,2804414.0,1368272.0,1500.0,410308.0,5980861.0,0.0,3512453.0,2119486.0,1956364.0,622415.0,271908.0,289196.0
2000-02-14,195849.0,,,44282.0,,136589.0,20039.0,,61979.0,,,56897.0,,,104442.0,0.0,689487.0,95740.0,,23139.0,51108.0,,,21323.0,457977.0,50923.0,169519.0,22548.0,197882.0,114084.0,124200.0,,,5769354.0,649963.0,,,,,97354.0,114084.0,984945.0,15715.0,2007983.0,321146.0,,370827.0,,762189.0,70262.0,201746.0,274558.0,12005.0,,,3453097.0,47295.0,,177203.0,215287.0,6388.0,1525272.0,1272547.0,2020912.0,2800.0,227682.0,7956457.0,0.0,1470985.0,3871090.0,1511857.0,741903.0,402584.0,184439.0
